,City,Latitude,Longitude,Max Temp (Celsius),Humidity,Cloudiness,Wind Speed,Country,Date
221,huarmey,-10.0681,-78.1522,21.81,76,99,4.03,PE,1613954956
222,laguna,38.421,-121.4238,17.0,34,1,2.57,US,1613954941
223,nanortalik,60.1432,-45.2371,-5.18,95,100,4.15,GL,1613954901
224,srandakan,-7.9386,110.2506,27.66,73,91,1.17,ID,1613955261
225,kiama,-34.6833,150.8667,28.33,67,2,1.79,AU,1613955261
226,namibe,-15.1961,12.1522,20.94,75,94,2.39,AO,1613954889
227,perth,-31.9333,115.8333,25.56,53,0,9.26,AU,1613955234
228,kushiro,42.975,144.3747,-5.0,68,75,2.06,JP,1613955148
229,marsh harbour,26.5412,-77.0636,19.99,76,82,11.72,BS,1613955168
230,beaumont,30.0861,-94.1019,17.0,82,90,2.06,US,1613955088
231,husavik,66.0449,-17.3389,1.0,93,90,3.6,IS,1613955263
232,sumenep,-7.0167,113.8667,27.24,79,90,3.71,ID,1613955263
233,falam,22.9167,93.6833,13.04,50,33,0.86,MM,1613955263
234,saldanha,-33.0117,17.9442,15.0,67,0,4.12,ZA,1613954866
235,bulgan,48.8125,103.5347,-14.81,82,94,0.91,MN,1613955264
236,markova,48.6758,24.4138,-0.84,89,16,2.26,UA,1613955264
237,cidreira,-30.1811,-50.2056,24.27,76,1,7.75,BR,1613954878
238,fairbanks,64.8378,-147.7164,-23.33,59,100,0.69,US,1613954703
239,puerto leguizamo,-0.1934,-74.7819,26.29,62,99,0.66,CO,1613955265
240,simoes,-7.5989,-40.8178,23.02,83,99,1.99,BR,1613955265
241,zhuanghe,39.7008,122.9911,-0.22,69,0,7.54,CN,1613955265
242,jian,27.1172,114.9793,19.39,70,100,2.53,CN,1613955266
243,dickinson,29.4608,-95.0513,19.0,68,75,4.12,US,1613955266
244,hambantota,6.1241,81.1185,22.0,100,1,2.06,LK,1613954965
245,mariani,26.6667,94.3333,17.55,56,0,0.66,IN,1613955267
246,concordia,-31.393,-58.0209,27.78,60,0,3.52,AR,1613955168
247,sao filipe,14.8961,-24.4956,21.81,67,0,6.74,CV,1613954965
248,parkes,-33.1333,148.1833,30.9,34,0,5.52,AU,1613955268
249,alyangula,-13.8483,136.4192,28.0,89,40,2.06,AU,1613955268
250,kachug,53.9606,105.8817,-28.56,84,66,0.95,RU,1613955268
251,baillif,16.0202,-61.7463,24.39,78,10,5.22,GP,1613955268
252,nome,64.5011,-165.4064,-19.0,65,1,2.06,US,1613954957
253,cabo san lucas,22.8909,-109.9124,21.11,64,1,4.12,MX,1613954935
254,fort nelson,58.8053,-122.7002,-15.0,61,75,3.6,CA,1613955269
255,gari,59.4307,62.3497,-30.15,87,100,2.66,RU,1613955269
256,durban,-29.8579,31.0292,22.78,73,75,3.09,ZA,1613955243
257,umm kaddadah,13.6017,26.6876,16.39,28,0,6.98,SD,1613955019
258,vanimo,-2.6741,141.3028,28.91,68,52,1.27,PG,1613954966
259,sal rei,16.1833,-22.9167,20.0,73,75,7.72,CV,1613955271
260,lagoa,39.05,-27.9833,16.02,89,0,14.54,PT,1613954917
261,sisimiut,66.9395,-53.6735,-14.43,89,50,5.06,GL,1613954979
262,dedougou,12.4667,-3.4667,22.18,18,0,3.35,BF,1613955069
263,portland,45.5234,-122.6762,10.0,85,98,2.24,US,1613954698
264,sosenskiy,54.059,35.9623,-2.0,93,100,3.0,RU,1613955272
265,margate,51.3813,1.3862,11.67,77,100,0.89,GB,1613954911
266,mount isa,-20.7333,139.5,31.0,45,8,3.09,AU,1613954874
267,teguldet,57.3064,88.1667,-20.11,91,100,3.25,RU,1613955273
268,cartagena del chaira,1.3349,-74.8429,27.65,54,100,0.9,CO,1613955274
269,kalcheva,45.7374,28.8141,1.17,91,76,2.05,UA,1613955274
270,awjilah,29.1081,21.2869,12.05,45,0,2.81,LY,1613955274
271,unai,-16.3575,-46.9061,21.91,90,100,1.28,BR,1613954988
272,laurel,39.0993,-76.8483,0.0,64,1,2.57,US,1613955275
273,avera,33.194,-82.5271,12.0,66,90,7.2,US,1613954945
274,bideford,51.0179,-4.2046,8.33,94,100,0.45,GB,1613955275
275,altay,47.8667,88.1167,-8.65,89,82,1.37,CN,1613955276
276,soyo,-6.1349,12.3689,26.22,84,100,3.85,AO,1613954923
277,daru,-9.0763,143.2092,30.66,65,87,2.41,PG,1613955276
278,tiznit,29.5833,-9.5,9.53,79,45,2.72,MA,1613954992
279,kuchl,47.6265,13.1448,1.11,100,75,1.03,AT,1613955277
280,gayeri,12.6497,0.4931,21.6,18,72,3.73,BF,1613955277
281,palma di montechiaro,37.1926,13.765,7.78,91,5,0.45,IT,1613955278
282,omboue,-1.5746,9.2618,25.87,86,100,2.11,GA,1613955278
283,chicama,-7.8447,-79.1469,22.65,69,91,3.39,PE,1613955278
284,san buenaventura,27.0833,-101.5333,19.13,39,0,5.74,MX,1613955278
285,yugorsk,61.3133,63.3319,-34.1,84,94,2.51,RU,1613955279
286,kissidougou,9.1848,-10.0999,23.6,58,0,2.42,GN,1613955279
287,okakarara,-20.5833,17.4333,19.52,68,100,3.56,NA,1613955279
288,ponta do sol,32.6667,-17.1,13.89,94,99,5.45,PT,1613954872
289,hervey bay,-25.2986,152.8535,31.0,45,0,1.54,AU,1613955160
290,grants,35.1473,-107.8514,4.0,22,1,6.69,US,1613955128
291,sonepur,20.8333,83.9167,16.37,54,0,1.12,IN,1613955280
292,gaya,24.7833,85.0,13.0,88,90,1.99,IN,1613955281
